Symbol,WinRate,Returns,Actual_Ret,Prev_Volatility,Prev_Returns_CAGR,Previous_Sharpe,No.,CAGR,Vol,Sharpe,Drawdown,Calmar
SJVN,60,2.588925516,3.961877189,0.256612119,0.210748101,-0.186633894,10,11.28976135,34.78535953,0.180816339,20.55606086,0.549218132
KARURVYSYA,78.57142857,4.929477239,2.07002883,0.258695849,17.07720833,0.466849715,14,19.64796549,36.29903737,0.403535922,19.2902352,1.018544631
JAGRAN,64.70588235,1.616983832,0.530356082,0.258721183,7.847486494,0.110060044,17,5.55259419,36.27884768,0.015231856,44.89560748,0.123677894
GRASIM,88.23529412,6.012351976,2.167656695,0.258868376,18.65900165,0.527642731,17,22.34983444,32.34400289,0.536415808,11.45648881,1.950845047
CIPLA,75,2.54932764,2.578806768,0.259509,19.35933031,0.553326872,4,11.09703878,30.80637166,0.197914862,0.518241064,21.41288979
COALINDIA,100,3.517442469,1.728122832,0.259978163,-4.329285221,-0.358848801,7,15.19221168,29.41172584,0.346535655,0,inf
MARICO,75,1.186966836,1.868089154,0.260153134,27.29935989,0.857162838,4,1.946097101,8.03847512,-0.379910724,10.18242767,0.191123096
NESCO,50,1.719088409,1.50782555,0.260619001,14.69029631,0.371818488,6,6.281882136,28.35503221,0.045208276,19.31385692,0.325252598
PFIZER,54.54545455,1.339086487,2.185948054,0.261012971,11.96300914,0.266768701,11,3.337893577,21.87587133,-0.075978981,34.53411502,0.096654962
SUNDARMFIN,64.28571429,3.623831741,2.527293273,0.262687901,26.93576505,0.835050454,14,15.57884019,39.5356414,0.2675773,19.29745391,0.807300293
NHPC,50,2.749954643,3.702127614,0.262956866,-3.720439003,-0.331630017,12,12.04747335,42.94910333,0.164088952,20.37325595,0.591337653
HCLTECH,77.77777778,2.232370168,2.757572559,0.263403792,20.43856426,0.586117767,9,9.450737006,20.79054932,0.214075008,5.874107082,1.608880613
HONAUT,85.71428571,2.641480023,2.795587065,0.265369396,35.63341643,1.154368849,7,11.54154291,26.4294295,0.247509804,8.324031226,1.38653287
AMBUJACEM,66.66666667,1.583084437,2.673894685,0.267481451,13.64909354,0.323353022,12,5.301411745,29.98660039,0.010051548,34.72722308,0.152658672
OIL,71.42857143,9.246691511,2.882954545,0.267782315,-2.904054891,-0.295167173,14,28.4177254,53.60907576,0.436823897,10.20417409,2.784911855
CUB,50,1.328728748,0.873826029,0.269584008,31.9992132,1.001513901,16,3.24770114,25.14249686,-0.069694703,36.80421004,0.088242653
BLUEDART,50,1.824066843,1.991227808,0.270140099,26.32689814,0.78947547,6,6.992658755,42.98720478,0.046354695,45.29371725,0.15438474
MRF,100,1.613224343,1.642238599,0.270478113,30.30892878,0.935710786,6,5.524969382,8.288937538,0.063333736,0,inf
TATACHEM,83.33333333,1.496893787,3.254336206,0.270892537,5.541567301,0.019991961,6,4.640592766,9.174985152,-0.039172514,5.86823329,0.790798957
LAXMIMACH,61.11111111,2.640674025,2.092578179,0.271371396,48.21248361,1.592374295,18,11.53771518,35.77342434,0.182753407,46.55272666,0.247841878
GRINDWELL,87.5,4.898103407,4.933615432,0.274188613,19.26032585,0.520091833,8,19.56209173,41.28272517,0.352740563,10.16624075,1.924220781
BOSCHLTD,45.45454545,1.49673271,1.529233881,0.274607305,28.85144927,0.868565723,11,4.639326506,28.71328973,-0.012561204,44.91612813,0.103288656
CARBORUNIV,64.28571429,2.729867884,4.417644629,0.2750687,42.37659461,1.358809438,14,11.95514032,31.15642266,0.223232956,19.33912835,0.618184031
SUPREMEIND,64.70588235,2.200575873,4.069449775,0.275509384,40.36813966,1.283736299,17,9.274327758,25.42835684,0.16809296,19.24530278,0.48190085
ZEEL,38.0952381,0.345742592,0.257997202,0.276823896,16.62982991,0.420116546,21,-11.25725579,24.5847949,-0.661272785,65.42574081,-0.172061572
